id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,user_image,url_user,url_source
ChZDSUhNMG9nS0VJQ0FnSUN5LTgyX1pREAE,,2 weeks ago,2021-03-03 23:33:56.714193,5.0,Arief Rizki,0,https://lh3.googleusercontent.com/a-/AOh14GjSPf87VP-QJt4js60wLR3Z1AyaWSfe7CaVBYde3g=w45-h45-p-c0x00000000-rp-ba3-br100,https://www.google.com/maps/contrib/105572952720412643952/reviews?hl=en-AU
ChZDSUhNMG9nS0VJQ0FnSUN5MjdPWWNREAE,"PLEASE shop elsewhere! I had bought a television and sound bar off them, months along the line the tv starts to play up, so I try and call the store, no body picks up for a while, and when they do they just transfer you to the tv department which stays on hold for more than an hour. *They do this on purpose* This would happen everytime they knew i called. Seeing as calling them doesn't work I had emailed them many times and have not had a response as of yet.  If there is a Good guys go there instead they are much better with customers. JB HI-FI love you when you give them cash but when you need assistance they are nowhere to be seen",2 weeks ago,2021-03-03 23:33:56.714193,1.0,Deeninetytwo,0,https://lh3.googleusercontent.com/a-/AOh14Gi0XKiKAzvtFALOtSlxcItdJQPGgYQ_8lQwu3wHAQ=w45-h45-p-c0x00000000-rp-ba3-br100,https://www.google.com/maps/contrib/104380382960732014277/reviews?hl=en-AU
ChZDSUhNMG9nS0VJQ0FnSUQ4OVlYTlBnEAE,Very knowledgeable and helpful staff.,3 weeks ago,2021-03-03 23:33:56.714193,5.0,nagendra jaiswal,0,https://lh3.googleusercontent.com/a-/AOh14Ghpd4L7RjYnfIfvHA2UEP2HtqJnJOOwD1b_iziTDw=w45-h45-p-c0x00000000-rp-ba6-br100,https://www.google.com/maps/contrib/118437442997841653625/reviews?hl=en-AU
ChdDSUhNMG9nS0VJQ0FnSUN5OWNTLWdnRRAB,,3 weeks ago,2021-03-03 23:33:56.714193,4.0,Mick Fox,0,https://lh5.googleusercontent.com/-4Zuxs79ynZg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnvNkD-cNnurKx_yFCPaUGzx4m0hQ/w45-h45-p-c0x00000000-rp-br100/photo.jpg,https://www.google.com/maps/contrib/106900635709880338459/reviews?hl=en-AU
ChZDSUhNMG9nS0VJQ0FnSUN5dGJUN05BEAE,,3 weeks ago,2021-03-03 23:33:56.714193,5.0,Catriona Macmillan,0,https://lh6.googleusercontent.com/-zqMH05x8nQw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckS26VbOmmR2VJ9LlNYFidzDHjvXQ/w45-h45-p-c0x00000000-rp-br100/photo.jpg,https://www.google.com/maps/contrib/118378557999444475063/reviews?hl=en-AU
ChZDSUhNMG9nS0VJQ0FnSUN5cGNqN1dREAE,Staff up themselves. Disrespectful.,3 weeks ago,2021-03-03 23:33:56.714193,1.0,David Stevenson,0,https://lh5.googleusercontent.com/--NYZQc64MXI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucng4rrkAnfQGnG3OgO82TFWZyoNbQ/w45-h45-p-c0x00000000-rp-br100/photo.jpg,https://www.google.com/maps/contrib/111672451211584744270/reviews?hl=en-AU
ChZDSUhNMG9nS0VJQ0FnSUN5N3N5WkJBEAE,,a month ago,2021-03-03 23:33:56.714193,4.0,Joel Green,0,https://lh4.googleusercontent.com/-XaZqr-MCbs8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmWHG-6MD7J06o8mLV7SlfDdY-xYg/w45-h45-p-c0x00000000-rp-ba4-br100/photo.jpg,https://www.google.com/maps/contrib/104819891179744191316/reviews?hl=en-AU
ChdDSUhNMG9nS0VJQ0FnSUN5bHBtcHBnRRAB,,a month ago,2021-03-03 23:33:56.714193,3.0,霹靂Eric,0,https://lh3.googleusercontent.com/-dVwSS_XZ93Q/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnOHAtFBEb2r_q58ZlmIWr9ZRyG1A/w45-h45-p-c0x00000000-rp-br100/photo.jpg,https://www.google.com/maps/contrib/106997173768383917442/reviews?hl=en-AU
ChZDSUhNMG9nS0VJQ0FnSUN5NW9QR1JBEAE,18EPrQF45Lts3tfYi9GrECjoj3eHvQSDBp=1.804531.80453,a month ago,2021-03-03 23:33:56.714193,5.0,CHANICHA RUANGSUK,0,https://lh3.googleusercontent.com/a-/AOh14GgSXK2XKkHnNa-YKhFgkAIuCSK-wfLRMJn6eY5bIQ=w45-h45-p-c0x00000000-rp-br100,https://www.google.com/maps/contrib/113691913468080647844/reviews?hl=en-AU
ChRDSUhNMG9nS0VJQ0FnSUN5NHIxLRAB,,a month ago,2021-03-03 23:33:56.714193,3.0,Mel Rocks,0,https://lh3.googleusercontent.com/a-/AOh14Gjspp4j0mSx-OtV574OMlRfIxeBGR3RxLx0oDIr=w45-h45-p-c0x00000000-rp-ba2-br100,https://www.google.com/maps/contrib/111190858404358208312/reviews?hl=en-AU
